cell_type,HPD1_pre,HPD1_post,HPD2_pre,HPD2_post,HPD3_post,HPD3_pre,HPD4_pre,HPD4_post,HPD5_pre,HPD5_post,HPD6_pre,HPD6_post
T cell CD4+ memory activated_CIBERSORT-ABS,0,0.00687909332381472,0,0,0,0,0.0175307139696211,0,0,0,0.0171654608455568,0.0457865939273942
T cell follicular helper_CIBERSORT-ABS,0.000250926119825545,0.0135088576645874,0.00331500461852746,0.00392404783083743,0.0108577031343812,0.0141703220425742,0,0.00447250371375215,0,0,0.017239179723976,0.0352593015237091
T cell regulatory (Tregs)_CIBERSORT-ABS,0.00916471819342602,0.0152148894415369,0.00660910667009565,0.00155336121222762,0,0,0,0.000319021140154395,0.0044746825594419,0.0015673171097483,0.0132718018960012,0.00206062178805882
T cell gamma delta_CIBERSORT-ABS,0,0,0,0,0,0,0,0,6.53263530895662e-05,0,0,0
NK cell resting_CIBERSORT-ABS,0.0311406996766428,0.000744672125775577,0.0249337762269464,0.0204362832842111,0.00815758992665145,0.00151738381365959,0.0281917632874006,0.00222368015288236,0,0,0.00364744099562993,0.00429659314405938
NK cell activated_CIBERSORT-ABS,0,0,0,0,0,0.00147046521099793,0,0.0164467468992305,0.00411045671158212,0.0163993392253105,0,0.00246708228322174
Monocyte_CIBERSORT-ABS,0.00352809093256209,0.0162522216845504,0.00790449987711343,0,0.00863743519576336,0.00900491729274577,0,0.201115106961639,0.00481640227798044,0.0380766147590374,0.0348846006707101,0.0448460514470074
Macrophage M0_CIBERSORT-ABS,0.0384378544819343,0.0574140104879988,0.0772927950159479,0.0635151240022888,0.0221761579480916,0.0188599220035596,0.0927327153337944,0.0151075843661236,0.0362662457291156,0,0.163999077919605,0.120895524131163
Macrophage M1_CIBERSORT-ABS,0,0.016463000291213,0.00158424450271176,0,0,0,0,0,0.00623687700244141,0.0274949502051838,0.0296226290914526,0.0633963016460249
Macrophage M2_CIBERSORT-ABS,0.0585676493776012,0.0029900204675957,0.00763094268060592,0.0273863836301807,0,0.00592064607183596,0.00753039794565696,0.0613727136416026,0.108949307064731,0.119073847384566,0.0778137993779969,0.0305872410540564
Myeloid dendritic cell resting_CIBERSORT-ABS,0.0420467416675655,0.0883489926393757,0,0,0,0,0,0,0.0416029032160167,0.00433265426918038,0.0198744771512181,0.00625768272673039
Myeloid dendritic cell activated_CIBERSORT-ABS,0.00274088516992369,0,0,0,0,0,0.0324340209550825,0.000759277850177832,0,0,0,0
Mast cell activated_CIBERSORT-ABS,0,0.0269648631112538,0.00498256764830555,0.00508106383531989,0,0,0.00582516867406239,0.0216186744327124,0.00750427256947268,0.0450908803070448,0.00221893731546755,0.0186191404664298
Mast cell resting_CIBERSORT-ABS,0,0,0,0,0.00304857491629249,0,0.0170825042464134,0,0,0,0,0
Eosinophil_CIBERSORT-ABS,0.0146466989022908,0.00192841724899282,0.00360823546238114,0,0,0,0.00559993299659154,0.000879324710231238,0,0.00335675861948812,0,0
Neutrophil_CIBERSORT-ABS,0,0,0,0.000665499958572768,0.000275682194038764,0,0,0.00919874166974859,0.0114829697537573,0,0.0156535895802331,0
B cell_QUANTISEQ,0.104509780166927,0.0931679568233111,0.0194770441936412,0.0200057898403303,0.023205915628813,0.0641247433451615,0.0226143689926322,0.0172373565429345,0.0205404994037301,0.0208594432726721,0.0381958184145128,0.0342944122717291
Macrophage M1_QUANTISEQ,0.0126869546229001,0.0391729167844957,0.0404352495670997,0.0288687990791183,0.0246127521294912,0,0.080660182594857,0.111368477363403,0.100475531400586,0.115182389605983,0.0962354775071863,0.141539935826758
